Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2013-08-30T02:15:16.000,	42.42,	28.0,	12.44,	30.0,	0.0,	0.0
2013-08-30T02:15:20.000,	42.42,	28.0,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:15:24.000,	40.84,	28.0,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:15:28.000,	40.84,	28.0,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:15:32.000,	40.84,	28.0,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:15:36.000,	42.42,	29.4,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:15:40.000,	42.32,	28.93,	13.87,	28.0,	0.0,	0.0
2013-08-30T02:15:44.000,	42.77,	29.09,	13.78,	28.0,	0.0,	0.0
2013-08-30T02:15:48.000,	42.89,	28.87,	13.66,	27.52,	0.0,	0.0
2013-08-30T02:15:52.000,	43.12,	28.78,	13.56,	27.2,	0.0,	0.0
2013-08-30T02:15:56.000,	43.3,	28.62,	13.44,	26.8,	1.0,	0.0
2013-08-30T02:16:00.000,	43.47,	28.47,	13.38,	26.88,	1.0,	0.0
2013-08-30T02:16:04.000,	43.65,	28.31,	13.22,	26.0,	1.0,	0.0
2013-08-30T02:16:08.000,	43.79,	28.19,	13.33,	28.0,	1.0,	0.0
2013-08-30T02:16:12.000,	44.0,	28.0,	13.0,	26.0,	1.0,	0.0
2013-08-30T02:16:16.000,	44.0,	28.0,	14.0,	24.0,	1.0,	0.0
2013-08-30T02:16:20.000,	40.0,	28.0,	13.0,	26.0,	1.0,	0.0
2013-08-30T02:16:24.000,	44.0,	30.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:16:28.000,	44.0,	30.0,	15.0,	28.0,	1.0,	0.0
2013-08-30T02:16:32.000,	48.0,	32.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:16:36.000,	48.0,	32.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:16:40.000,	44.0,	32.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:16:44.000,	52.0,	36.0,	16.0,	28.0,	1.0,	0.0
2013-08-30T02:16:48.000,	52.0,	34.0,	14.0,	24.0,	1.0,	0.0
2013-08-30T02:16:52.000,	48.0,	34.0,	15.0,	24.0,	1.0,	0.0
2013-08-30T02:16:56.000,	42.0,	28.0,	15.0,	26.0,	1.0,	0.0
2013-08-30T02:17:00.000,	48.0,	32.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:17:04.000,	48.0,	32.0,	14.0,	24.0,	1.0,	0.0
2013-08-30T02:17:08.000,	52.0,	32.0,	16.0,	28.0,	1.0,	0.0
2013-08-30T02:17:12.000,	48.0,	32.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:17:16.000,	48.0,	32.0,	14.0,	24.0,	1.0,	0.0
2013-08-30T02:17:20.000,	56.0,	36.0,	15.0,	24.0,	1.0,	0.0
2013-08-30T02:17:24.000,	46.0,	28.0,	14.0,	24.0,	1.0,	0.0
2013-08-30T02:17:28.000,	48.0,	34.0,	15.0,	24.0,	1.0,	0.0
2013-08-30T02:17:32.000,	48.0,	30.0,	15.0,	26.0,	1.0,	0.0
2013-08-30T02:17:36.000,	52.0,	32.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:17:40.000,	52.0,	32.0,	13.0,	26.0,	1.0,	0.0
2013-08-30T02:17:44.000,	52.0,	32.0,	14.0,	22.0,	1.0,	0.0
2013-08-30T02:17:48.000,	48.0,	30.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:17:52.000,	52.0,	32.0,	14.0,	26.0,	1.0,	0.0
