Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2011-02-15T01:38:12.000,	14.93,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:38:16.000,	17.5,	8.8,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:38:20.000,	16.47,	8.0,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:38:24.000,	16.47,	8.0,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:38:28.000,	14.93,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:38:32.000,	17.5,	7.2,	20.31,	45.82,	0.0,	0.0
2011-02-15T01:38:36.000,	16.47,	7.2,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:38:40.000,	17.5,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:38:44.000,	16.47,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:38:48.000,	16.47,	8.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:38:52.000,	15.44,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:38:56.000,	16.47,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:39:00.000,	14.93,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:39:04.000,	16.47,	6.4,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:39:08.000,	16.47,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:39:12.000,	16.47,	9.6,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:39:16.000,	17.5,	8.0,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:39:20.000,	16.47,	7.2,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:39:24.000,	18.53,	8.8,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:39:28.000,	16.47,	8.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:39:32.000,	18.53,	8.8,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:39:36.000,	16.47,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:39:40.000,	15.44,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:39:44.000,	16.47,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:39:48.000,	16.47,	8.0,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:39:52.000,	16.47,	8.8,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:39:56.000,	16.47,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:40:00.000,	16.47,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:40:04.000,	14.93,	7.2,	18.46,	45.82,	0.0,	0.0
